Time Period,M:N:N:CA,M:N:N:CH,M:N:N:BE,M:N:N:AT,M:N:N:AU,M:N:N:HK,M:N:N:GB,M:N:N:GR,M:N:N:FI,M:N:N:FR,M:N:N:ES,M:N:N:DK,M:N:N:DE,M:N:B:CH,M:R:N:CA,M:N:B:CL,M:R:N:CH,M:N:B:BR,M:N:B:CA,M:N:B:BE,M:N:B:BG,M:N:B:AU,M:N:N:KR,M:N:B:BA,M:N:B:AR,M:N:N:IT,M:N:B:AT,M:N:N:JP,M:N:N:IE,M:R:N:BE,M:R:N:AT,M:R:N:AU,M:N:B:HR,M:N:B:HU,M:N:B:GR,M:N:N:SE,M:N:B:HK,M:N:N:SG,M:N:B:FR,M:N:B:GB,M:N:B:ES,M:N:B:FI,M:N:B:DZ,M:N:B:EE,M:N:N:PT,M:N:B:DE,M:N:B:DK,M:N:B:CY,M:N:N:NO,M:N:B:CZ,M:N:N:NZ,M:N:B:CN,M:N:B:CO,M:N:N:NL,M:N:B:MX,M:R:B:CH,M:N:B:MY,M:R:B:CL,M:R:N:MX,M:N:B:MK,M:R:B:BR,M:N:B:MT,M:R:B:CA,M:N:B:LV,M:R:B:CY,M:R:N:NO,M:N:B:MA,M:R:B:CZ,M:R:N:NZ,M:N:B:LT,M:R:B:CN,M:N:B:LU,M:R:B:CO,M:R:N:NL,M:N:B:JP,M:R:B:AR,M:R:N:IT,M:N:B:KR,M:R:B:AT,M:R:N:JP,M:N:B:IS,M:N:N:XM,M:N:B:IT,M:N:B:IL,M:N:N:TW,M:R:B:BE,M:N:B:IN,M:N:N:US,M:R:B:BG,M:N:B:ID,M:R:B:AU,M:R:N:KR,M:N:B:IE,M:R:B:BA,M:N:B:SK,M:R:N:HK,M:N:B:TH,M:N:B:SG,M:R:N:GB,M:N:B:SI,M:R:N:GR,M:N:B:SA,M:R:N:IE,M:N:B:SE,M:N:B:RS,M:N:B:RU,M:N:B:PT,M:R:N:DK,M:N:B:RO,M:N:B:PH,M:N:B:PL,M:R:N:DE,M:N:B:NZ,M:R:N:FI,M:N:B:PE,M:R:N:FR,M:N:B:NL,M:N:B:NO,M:R:N:ES,M:R:B:MX,M:R:B:MY,M:R:B:MK,M:R:B:MT,M:R:B:NZ,M:R:B:PE,M:R:B:NL,M:R:B:NO,M:R:B:JP,M:R:B:KR,M:N:B:ZA,M:R:B:IS,M:R:N:XM,M:R:B:IT,M:N:B:US,M:R:B:LV,M:N:B:XM,M:R:B:MA,M:N:B:TR,M:R:B:LT,M:N:B:TW,M:R:B:LU,M:R:B:HR,M:R:B:HU,M:R:B:GR,M:R:N:SE,M:R:B:HK,M:R:N:SG,M:R:B:IL,M:R:N:TW,M:R:B:IN,M:R:N:US,M:R:B:ID,M:R:B:IE,M:R:B:DZ,M:R:B:EE,M:R:N:PT,M:R:B:DE,M:R:B:DK,M:R:B:FR,M:R:B:GB,M:R:B:ES,M:R:B:FI,M:R:B:ZA,M:R:B:SK,M:R:B:TH,M:R:B:SG,M:R:B:SI,M:R:B:US,M:R:B:XM,M:R:B:TR,M:R:B:TW,M:R:B:PT,M:R:B:RO,M:R:B:PH,M:R:B:PL,M:R:B:SA,M:R:B:SE,M:R:B:RS,M:R:B:RU,M:N:B:AE,M:R:B:AE
1964-01,132.69,23.61,85.13,67.44,193.64,174.12,258.03,1063.93,171.68,127.77,242.29,94.29,41.38,,132.44,,62.7,,,,,,1394.28,,,342.95,,25.72,181.33,96.81,78.99,116.01,,,,187.48,,56.35,,,,,,,575.33,,,,128.45,,234.63,,,63.19,,,,,148.22,,,,,,,106.47,,,103,,,,,78.04,,,119.22,,,56.85,,99.69,,,99.26,,,118.1,,,,208.68,,,,92.81,,,158.42,,112.19,,93.73,,,,,81.67,,,,102.98,,126.94,,126.22,,,69.02,,,,,,,,,,,,,88.26,,,,,,,,,,,,,169.73,,122.91,,110.87,,115.97,,,,,71.52,,,,,,,,,,,,,,,,,,,,,,,,,
1964-02,132.74,23.56,85.11,67.39,193.59,174.16,257.98,1064,171.67,127.78,242.26,94.2,41.43,,132.29,,62.51,,,,,,1394.64,,,342.72,,25.7,181.29,96.57,79.07,116.06,,,,187.68,,56.36,,,,,,,575.16,,,,128.4,,234.7,,,63.14,,,,,145.45,,,,,,,107.3,,,102.76,,,,,77.82,,,119.17,,,56.42,,99.74,,,99.29,,,118.12,,,,222.94,,,,95.27,,,157.95,,111.94,,93.6,,,,,81.35,,,,103.17,,127.57,,125.98,,,68.93,,,,,,,,,,,,,88.23,,,,,,,,,,,,,170,,122.8,,110.65,,115.59,,,,,71.79,,,,,,,,,,,,,,,,,,,,,,,,,
1964-03,132.66,23.55,85.12,67.39,193.59,174.12,258.01,1064.21,171.5,127.8,242.28,94.3,41.42,,132.17,,62.44,,,,,,1394.1,,,342.04,,25.73,181.31,96.08,78.77,116.08,,,,189.01,,56.34,,,,,,,575.16,,,,128.36,,234.6,,,63.13,,,,,146.68,,,,,,,107.12,,,102.86,,,,,78.59,,,119.35,,,56.4,,99.63,,,99.25,,,118.1,,,,227.66,,,,92.13,,,157.79,,112.75,,93.53,,,,,81.32,,,,102.97,,128.76,,125.82,,,69.04,,,,,,,,,,,,,88.28,,,,,,,,,,,,,171.56,,122.3,,110.23,,115.42,,,,,72.54,,,,,,,,,,,,,,,,,,,,,,,,,
1964-04,132.62,23.59,85.19,67.42,193.71,174.14,258.12,1064.59,171.48,127.84,242.34,94.36,41.42,,132.71,,62.64,,,,,,1394.45,,,341.38,,25.71,181.35,95.83,78.29,115.36,,,,189.25,,56.35,,,,,,,575.45,,,,128.47,,234.6,,,63.09,,,,,145.87,,,,,,,107.79,,,102.82,,,,,81.72,,,119.03,,,56.94,,99.58,,,99.27,,,118.13,,,,231.23,,,,90.22,,,158.89,,112.19,,96.55,,,,,82.42,,,,102.15,,128.97,,125.52,,,68.97,,,,,,,,,,,,,88.06,,,,,,,,,,,,,170.78,,120.08,,109,,114.8,,,,,71.97,,,,,,,,,,,,,,,,,,,,,,,,,
1964-05,134.23,23.78,85.52,67.71,198.95,183.08,260.45,1072.66,172.63,128.6,243.7,95.02,41.76,,134.07,,63.35,,,,,,708.74,,,343.59,,27.17,182.03,96.58,79.29,117.82,,,,191.05,,58.23,,,,,,,576.99,,,,129.47,,238.55,,,63.35,,,,,147.44,,,,,,,108.31,,,104.64,,,,,79.73,,,120.18,,,60.1,,101.33,,,101.53,,,122.3,,,,122.72,,,,95.85,,,161.73,,112.81,,96.58,,,,,82.78,,,,102.83,,130.67,,126.07,,,69.44,,,,,,,,,,,,,89.13,,,,,,,,,,,,,172.53,,123.51,,111.52,,118.01,,,,,71.55,,,,,,,,,,,,,,,,,,,,,,,,,
1964-06,134.22,23.79,85.42,67.73,198.61,183.11,259.99,1072.89,172.69,128.65,243.73,94.98,41.79,,133.88,,63.14,,,,,,708.85,,,343.69,,27.18,181.86,97.46,79.29,118.02,,,,191.16,,58.24,,,,,,,576.17,,,,129.45,,238.71,,,63.25,,,,,146.96,,,,,,,108.11,,,105.22,,,,,79.49,,,121.17,,,59.98,,101.35,,,101.55,,,122.33,,,,117.11,,,,97.01,,,161.14,,111.72,,96.4,,,,,82.59,,,,102.4,,131.04,,126.28,,,70.29,,,,,,,,,,,,,89.62,,,,,,,,,,,,,172.92,,123.4,,110.69,,118.74,,,,,71.45,,,,,,,,,,,,,,,,,,,,,,,,,
1964-07,134.19,23.76,85.54,67.77,198.34,183.14,259.65,1073.04,172.75,128.67,243.74,94.95,41.78,,134.34,,62.84,,,,,,708.92,,,343.75,,27.18,181.65,98.09,80.58,118.32,,,,190.97,,58.25,,,,,,,575.46,,,,129.39,,238.83,,,63.33,,,,,146.75,,,,,,,108.85,,,105.56,,,,,79.28,,,121.49,,,59.94,,101.43,,,101.56,,,122.36,,,,113.76,,,,97.83,,,160.29,,111.32,,97.25,,,,,82.26,,,,102.19,,130.75,,126.13,,,71.57,,,,,,,,,,,,,90.13,,,,,,,,,,,,,172.66,,123.9,,109.71,,118.98,,,,,71.5,,,,,,,,,,,,,,,,,,,,,,,,,
1964-08,134.53,23.76,85.63,67.8,198.11,183.14,259.36,1073.14,172.76,128.66,243.77,94.81,41.77,,134.82,,62.82,,,,,,708.91,,,343.77,,27.18,181.51,97.89,80.33,118.54,,,,191.24,,58.25,,,,,,,575.11,,,,129.3,,238.91,,,63.37,,,,,147.68,,,,,,,109.5,,,105.73,,,,,79.97,,,121.46,,,60.4,,101.45,,,101.56,,,122.3,,,,112.41,,,,96.7,,,161.41,,110.09,,96.73,,,,,81.83,,,,101.82,,130.42,,125.72,,,72.56,,,,,,,,,,,,,89.96,,,,,,,,,,,,,173.45,,125.64,,110.53,,118.05,,,,,71.3,,,,,,,,,,,,,,,,,,,,,,,,,
1964-09,134.8,23.76,85.7,67.76,197.75,183,258.98,1072.89,172.74,128.62,243.75,94.77,41.76,,134.42,,62.63,,,,,,708.12,,,343.72,,27.27,181.31,97.69,80.01,118.15,,,,191.17,,58.2,,,,,,,574.25,,,,129.23,,238.82,,,63.45,,,,,147.4,,,,,,,110.1,,,105.62,,,,,80.56,,,121.46,,,60.92,,101.43,,,101.46,,,122.14,,,,115.49,,,,99.66,,,160.33,,110.56,,96.31,,,,,81.43,,,,101.25,,131.26,,126.02,,,72.99,,,,,,,,,,,,,89.83,,,,,,,,,,,,,173.11,,124.08,,111.12,,117.43,,,,,70.81,,,,,,,,,,,,,,,,,,,,,,,,,
1964-10,134.9,23.77,85.77,67.73,197.77,183.01,258.89,1072.8,172.82,128.6,243.77,94.77,41.76,,134.19,,62.56,,,,,,708.18,,,343.67,,27.26,181.28,97.79,79.93,117.92,,,,190.31,,58.2,,,,,,,574.2,,,,129.31,,238.85,,,63.59,,,,,147.5,,,,,,,108.5,,,105.62,,,,,79.66,,,121.76,,,61.64,,101.51,,,101.47,,,122.13,,,,117.09,,,,100.45,,,159.51,,111,,97.08,,,,,82.63,,,,101.09,,130.93,,125.89,,,73.93,,,,,,,,,,,,,89.84,,,,,,,,,,,,,172.11,,122.34,,112.14,,116.59,,,,,71.01,,,,,,,,,,,,,,,,,,,,,,,,,
